Calculation1,Campus,City,County/State/ Territory,Fall Term,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2005,enr,FORT BRAGG HIGH SCHOOL,All,4
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2005,adm,FORT BRAGG HIGH SCHOOL,All,7
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2005,app,FORT BRAGG HIGH SCHOOL,All,8
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2004,enr,FORT BRAGG HIGH SCHOOL,White,4
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2004,adm,FORT BRAGG HIGH SCHOOL,White,10
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2004,app,FORT BRAGG HIGH SCHOOL,White,12
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2004,enr,FORT BRAGG HIGH SCHOOL,All,7
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2004,adm,FORT BRAGG HIGH SCHOOL,All,13
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2004,app,FORT BRAGG HIGH SCHOOL,All,15
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2003,enr,FORT BRAGG HIGH SCHOOL,White,3
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2003,adm,FORT BRAGG HIGH SCHOOL,White,4
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2003,app,FORT BRAGG HIGH SCHOOL,White,6
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2003,enr,FORT BRAGG HIGH SCHOOL,All,4
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2003,adm,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2003,app,FORT BRAGG HIGH SCHOOL,All,7
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2002,enr,FORT BRAGG HIGH SCHOOL,Domestic Unknown,
FORT BRAGG HIGH SCHOOL50955,Universitywide,Fort Bragg,Mendocino,2002,adm,FORT BRAGG HIGH SCHOOL,Domestic Unknown,
