Calculation1,Campus,City,County,Fall Term,Measure Names,School,Measure Values
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2015,App GPA,FORT BRAGG HIGH SCHOOL,4.059
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2015,App GPA,FORT BRAGG HIGH SCHOOL,3.831875
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2014,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2014,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Los Angeles,Fort Bragg,Mendocino,2014,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Irvine,Fort Bragg,Mendocino,2014,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2014,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2014,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2014,Enrl GPA,FORT BRAGG HIGH SCHOOL,3.785
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2014,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2014,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Los Angeles,Fort Bragg,Mendocino,2014,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Irvine,Fort Bragg,Mendocino,2014,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2014,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2014,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2014,Adm GPA,FORT BRAGG HIGH SCHOOL,3.79
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2014,App GPA,FORT BRAGG HIGH SCHOOL,3.461
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2014,App GPA,FORT BRAGG HIGH SCHOOL,3.675714286
